Name,ID,SMILES,InChI,Fa
ZOPICLONE,CHEMBL135400,CN1CCN(CC1)C(=O)OC2N(C(=O)c3nccnc23)c4ccc(Cl)cn4,GBBSUAFBMRNDJC-UHFFFAOYSA-N,1
ZOLPIDEM,CHEMBL911,CN(C)C(=O)Cc1c(nc2ccc(C)cn12)c3ccc(C)cc3,ZAFYATHCZYHLPB-UHFFFAOYSA-N,1
LAMOTRIGINE,CHEMBL741,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,PYZRQGJRPPTADH-UHFFFAOYSA-N,1
OXCARBAZEPINE,CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c3ccccc13,CTRLABGOLIVAIY-UHFFFAOYSA-N,1
ONDANSETRON,CHEMBL46,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,FELGMEQIXOGIFQ-UHFFFAOYSA-N,1
LORAZEPAM,CHEMBL580,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,DIWRORZWFLOCLC-UHFFFAOYSA-N,1
NEFAZODONE,CHEMBL623,CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4,VRBKIVRKKCLPHA-UHFFFAOYSA-N,1
AMIFOSTINE,CHEMBL1006,NCCCNCCSP(=O)(O)O,JKOQGQFVAUAYPM-UHFFFAOYSA-N,1
BEPRIDIL,CHEMBL1008,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,UIEATEWHFDRYRU-UHFFFAOYSA-N,1
LORACARBEF,CHEMBL1013,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c3ccccc3,JAPHQRWPEGVNBT-UTUOFQBUSA-N,1
IFOSFAMIDE,CHEMBL1024,ClCCNP1(=O)OCCCN1CCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,1
MIGLUSTAT,CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,UQRORFVVSGFNRO-UTINFBMNSA-N,1
