Name,ID,InChI,SMILES,LogD
,CHEMBL440335,IOZZFCHJROZWLY-UHFFFAOYSA-N,[O-]c1c2c(nn1c3ccc(Cl)cc3)c4ccccc4c[n+]2Cc5ccccc5,4.5
,CHEMBL2349324,FCDRFVCGMLUYPG-ROUUACIJSA-N,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2F)nc3nc(N)sc13,4.5
,CHEMBL62136,PEVOMCOIDIUZEI-UHFFFAOYSA-N,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F,4.5
,CHEMBL1857945,GKKYKABOCZBQRA-UHFFFAOYSA-N,CN(C)CCNc1cc(nc2cc(nn12)c3ccc(F)cc3)c4ccccc4,4.5
,CHEMBL381098,IOAZBLSDOVWYTI-UHFFFAOYSA-N,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,4.49
,CHEMBL103667,ZOSAZOVQKDMFEH-UHFFFAOYSA-N,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C,4.49
,CHEMBL2171013,RTJQABCNNLMCJF-UHFFFAOYSA-N,CN(C(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)S(=O)(=O)c4ccc(C)cc4,4.49
,CHEMBL1499868,GTYVVZQCJTWZAE-UHFFFAOYSA-N,CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,4.48
,CHEMBL1783264,NWVKVBBNCRPFPD-UHFFFAOYSA-N,COc1ccc(OC)c(c1)c2cccc3c(N)c(nnc23)C(=O)NC4(C)CCC4,4.48
,CHEMBL467803,HLKJXRGYFOSRLT-KOMQPUFPSA-N,CN1C(=O)N(CC2CC2)c3nn(Cc4cn(C)c5ccc(Cl)cc45)c(c6cc(oc6C)S(=O)(=O)C)c3C1=O,4.48
,CHEMBL2208432,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,O[C@H](CNC(=O)N1C(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,4.46
,CHEMBL338579,PQICLQPXNSRWME-UHFFFAOYSA-N,COc1ccccc1C(=O)NCC23CC4CC(CC(C4)C2)C3,4.43
,CHEMBL298019,WXNZQVYLCGNHQK-UHFFFAOYSA-N,CCOC(=O)c1ccc(OCCC2CCN(CC2)c3ccc(C)nn3)cc1,4.42
,CHEMBL206229,LJECWHXUEMRNDY-UHFFFAOYSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c(SC(C)C)c(Cc3ccccc3C(F)(F)F)sc12,4.42
Astemizole,CAS68844-77-9,WBTRGYNCKRJCSO-UHFFFAOYSA-N,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,4.42
,CHEMBL315970,UYLSKNZAXKMXKJ-UHFFFAOYSA-N,CC(C)CN1C(=O)N(C)C(=O)c2cn(Cc3cccc4ccccc34)cc12,4.41
,CHEMBL1392670,CVULCVVIQYHGSW-CALCHBBNSA-N,Oc1ccccc1OC(=O)c2cccc3ccccc23,4.4
,CHEMBL2152906,SXCPGBVLGDVEHO-UHFFFAOYSA-N,CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cc(ccn5)C#CC,4.4
,CHEMBL1813048,FDNXRODGTKLOEH-UHFFFAOYSA-N,CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4ccc(OC(F)(F)F)cc4)c1C,4.4
,CHEMBL2316396,QAEZJDXRJBVTSY-XKGZKEIXSA-N,O=C(Nc1cccnc1C(=O)NCC2CCOCC2)c3cccc4ccccc34,4.4
