name,ID,SMILES,InChI,Caco-2Papp?(¡Á 10?6?cm/s),LogPapp
,CHEMBL1809085,C\C=C(/C)\C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(c3)N=[N+]=[N-])[C@@H]4[C@@]5(CO[C@@H]5C[C@H](OC(=O)CC(F)(F)F)[C@@]4(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(=O)C)c6ccccc6,CTEGQGCSBIAESG-LYOFYBKXSA-N,300,2.477121255
,CHEMBL558,CC(N)COc1c(C)cccc1C,VLPIATFUUWWMKC-UHFFFAOYSA-N,281.8,2.449940989
,CHEMBL634,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,IDBPHNDTYPBSNI-UHFFFAOYSA-N,270,2.431363764
,CHEMBL1809087,CNC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4cccc(c4)N=[N+]=[N-])[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)\C(=C\C)\C)c6ccccc6)C(=C([C@@H](O)C(=O)[C@]13C)C5(C)C)C,KDBOQQJMISUUFV-HYZYLMBUSA-N,255,2.40654018
,CHEMBL53325,COc1cccc2C(CCCN3CCN(CC3)C4CCCCC4)CCCc12,PHRCDWVPTULQMT-UHFFFAOYSA-N,249.6,2.397244581
,CHEMBL266195,CC(C)NCC(O)COc1ccccc1CC=C,PAZJSJFMUHDSTF-UHFFFAOYSA-N,240,2.380211242
Fenofibrate,CAS49562-28-9,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N,220,2.342422681
,CHEMBL277474,CN1N(C(=O)C=C1C)c2ccccc2,VEQOALNAAJBPNY-UHFFFAOYSA-N,215,2.33243846
Aprepitant,CAS170729-80-3,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ATALOFNDEOCMKK-OITMNORJSA-N,170,2.230448921
,CHEMBL405448,COc1ccc2CCC\C(=C/CCN3CCc4cc(OC)c(OC)cc4C3)\c2c1,IQMBOMLUAIPKTA-QGMBQPNBSA-N,166.3,2.220892249
Sulforaphane,CAS4478-93-7,C[S@](=O)CCCCN=C=S,SUVMJBTUFCVSAD-JTQLQIEISA-N,141,2.149219113
,CHEMBL1809083,C\C=C(/C)\C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(c3)N=[N+]=[N-])[C@@H]4[C@@]5(CO[C@@H]5C[C@H](OC(=O)CNC(=O)OC(C)(C)C)[C@@]4(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(=O)C)c6ccccc6,FSWFWXODJXMHQC-UGZQPEDKSA-N,123,2.089905111
AZ1,PubChemCID2266,C(CCCC(=O)O)CCCC(=O)O,BDJRBEYXGGNYIS-UHFFFAOYSA-N,120,2.079181246
,CHEMBL1829170,OC(=O)CCc1ccc(cc1)C#Cc2cc(Cl)nc(Cl)c2,GCWBKYDSSJIRNJ-UHFFFAOYSA-N,112,2.049218023
,CHEMBL3577957,Cl.O=C(N1CCN(CC1)C2CC2)c3ccc(CN4CCOCC4)cc3,MRTJHEDYFUFHHQ-UHFFFAOYSA-N,108,2.033423755
,CHEMBL1223235,C(c1ccccc1)n2nnnc2C(N3CCCN(CC3)C4CCC4)c5ccc(cc5)n6cncn6,IFFHPDKLLFCYAG-UHFFFAOYSA-N,104,2.017033339
,CHEMBL124787,CC(C)[C@@H](NC(=O)C)C(=O)NCCc1ccccc1,KDWYUXCCSWVIAK-CQSZACIVSA-N,97,1.986771734
,CHEMBL1834184,CCC(=O)N[C@H]1CC[C@H](C1)C(=O)N(C)c2ccc(cc2)c3oc4ccccc4n3,YNFDIGJKJPNFFD-SJORKVTESA-N,94,1.973127854
,CHEMBL2315528,OC(=O)CCc1ccc(cc1)C#Cc2ccccc2CC#N,AMKACOPNIVQTHQ-UHFFFAOYSA-N,91,1.959041392
,CHEMBL2409627,COCC[C@H]1C[C@@H]1c2cncc(OC[C@@H]3CCCN3C)c2.OC(=O)C(F)(F)F,WZLVCXHBPZBGGB-FWBJMGQWSA-N,90.9,1.958563883
,CHEMBL3309334,C=CCN1C(=O)N(CC=C)c2ncccc2C1=O,GSDIYWQQYOVRDX-UHFFFAOYSA-N,90.7,1.957607287
,CHEMBL3613075,COc1cccc(OC)c1C(=O)\C=C\c2occc2,OGJQMNRBIMMIQX-CMDGGOBGSA-N,90.3,1.95568775
,CHEMBL1671936,CC(C)(C)CC(=O)Nc1c(F)cc(cc1F)C(=O)Nc2nccs2,KEUJAGGJGBWRFC-UHFFFAOYSA-N,88,1.944482672
,CHEMBL449588,Cc1ccccc1C#Cc2ccc(CCC(=O)O)cc2,FODHWOBAQBTTFS-UHFFFAOYSA-N,87,1.939519253
,CHEMBL259366,COc1cc2CCN(CCCC3CCCc4cc(OC)c(OC)cc34)Cc2cc1OC,ILEQWDOJJVJXBN-UHFFFAOYSA-N,86.8,1.938519725
,CHEMBL2348002,O=C1N2C(=NC3=C1CCCC3)C(=O)c4ccccc24,GGENRIHEBNSDRO-UHFFFAOYSA-N,85.4,1.931457871
,CHEMBL2043431,O=C(N[C@@H]1CCC[C@@H](C1)c2nc3ccccc3[nH]2)c4ccc5OCCOc5c4,BLFYHCYJCRNVIH-GOEBONIOSA-N,85,1.929418926
,CHEMBL597879,CN(C)C1CCN(C1)C(=O)c2ccc(Cn3c(nc4ccccc34)c5ccccc5)cc2,UYKJSYAQDGARFD-UHFFFAOYSA-N,84.9,1.92890769
,CHEMBL2171902,CN1C(=O)c2ccccc2C(=C)c3cc(O)ccc13,VGQGXKVPVNOLEN-UHFFFAOYSA-N,84.3,1.925827575
,CHEMBL2165819,Nc1c(cnc2ccnn12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4,BWUXSHHOKODNAK-HDJSIYSDSA-N,84,1.924279286
,CHEMBL259367,COc1ccc2C(CCCN3CCc4cc(OC)c(OC)cc4C3)CCCc2c1,HJBMLYTXOFQZDS-UHFFFAOYSA-N,82.8,1.918030337
,CHEMBL1277122,CC1=C2C(=CC(=O)N1Cc3cccnc3)NN(C2=O)c4ccccc4,ISLQXEIRVZXLJA-UHFFFAOYSA-N,79.2,1.898725182
