Name,ID,SMILES,inchi,LogS
4-methyl-2-(2-methylpropyl)oxan-4-ol,,CC(C)CC1CC(C)(O)CCO1,YVSNOTITPICPTB-UHFFFAOYSA-N,2.13768162
bis(tetrakis(hydroxymethyl)phosphanium) sulfate,,OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO.[O-][S]([O-])(=O)=O,YIEDHPBKGZGLIK-UHFFFAOYSA-L,1.9675127
ammonium bromide,,[NH4+].[Br-],SWLVFNYSXGMGBS-UHFFFAOYSA-N,1.908299785
azanium 2-hydroxyacetate,,[NH4+].OCC([O-])=O,UBKBVPONTPMQQW-UHFFFAOYSA-N,1.700915909
Chloral Hydrate,CAS302-17-0,OC(O)C(Cl)(Cl)Cl,RNFNDJAIBTYOQL-UHFFFAOYSA-N,1.7
hydrogen fluoride,,[H+].[F-],KRHYYFGTRYWZRS-UHFFFAOYSA-N,1.6988
"2-Hydroxy-N,N-dimethylpropanamide",,CC(O)C(=O)N(C)C,YEBLAXBYYVCOLT-UHFFFAOYSA-N,1.630235126
"hexane-1,6-diol",,OCCCCCCO,XXMIOPMDWAUFGU-UHFFFAOYSA-N,1.626440718
hydrazine dihydrochloride,,[H+].[Cl-].NN,BIVUUOPIAYRCAP-UHFFFAOYSA-N,1.595628815
"9-[2-(2-methoxyethoxy)ethoxy]-9-[3-(oxiran-2-ylmethoxy)propyl]-2,5,8,10,13,16-hexaoxa-9-silaheptadecane",,COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC,BAPRPWHVXHPSHD-UHFFFAOYSA-N,1.582313338
acetamide,,CC(N)=O,DLFVBJFMPXGRIB-UHFFFAOYSA-N,1.5808
dimethyl {3-[(hydroxymethyl)amino]-3-oxopropyl}phosphonate,,CO[P](=O)(CCC(=O)NCO)OC,MCONGYNHPPCHSD-UHFFFAOYSA-N,1.578490674
hydrocyanic acid,,C#N,LELOWRISYMNNSU-UHFFFAOYSA-N,1.5682
N-methylmethanaminium chloride,,[H+].[Cl-].CNC,IQDGSYLLQPDQDV-UHFFFAOYSA-N,1.565718592
dimethylamine,,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,1.558
"but-2-yne-1,4-diol",,OCC#CCO,DLDJFQGPPSQZKI-UHFFFAOYSA-N,1.536339003
"decane-1,10-diamine",,NCCCCCCCCCCN,YQLZOAVZWJBZSY-UHFFFAOYSA-N,1.527701003
methanol,,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,1.494280384
hydrazine,,NN,OAKJQQAXSVQMHS-UHFFFAOYSA-N,1.4942
2-methyl-2-nitro-1-propanol,,CC(C)(CO)[N+]([O-])=O,MVGJRISPEUZYAQ-UHFFFAOYSA-N,1.4681
ammonia,,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,1.451806889
1-ethyl-1-methylpyrrolidin-1-ium bromide,,[Br-].CC[N+]1(C)CCCC1,KHJQQUGSPDBDRM-UHFFFAOYSA-M,1.410187143
bromide,,[H+].[Br-],CPELXLSAUQHCOX-UHFFFAOYSA-N,1.377544373
manganese(2+) dinitrate,,[Mn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,MIVBAHRSNUNMPP-UHFFFAOYSA-N,1.377095201
methanamine,,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,1.368643478
aziridine,,C1CN1,NOWKCMXCCJGMRR-UHFFFAOYSA-N,1.365835212
oxoselane oxide,,O=[Se]=O,JPJALAQPGMAKDF-UHFFFAOYSA-N,1.364774503
acetaldehyde,,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,1.3561
ethylene oxide,,C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,1.356
guanidine hydrochloride,,[H+].[Cl-].NC(N)=N,PJJJBBJSCAKJQF-UHFFFAOYSA-N,1.352285044
formamide,,NC=O,ZHNUHDYFZUAESO-UHFFFAOYSA-N,1.346391976
ethylamine,,CCN,QUSNBJAOOMFDIB-UHFFFAOYSA-N,1.346
methylhydrazine,,CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N,1.336553508
tetrabutylazanium bromide,,[Br-].CCCC[N+](CCCC)(CCCC)CCCC,JRMUNVKIHCOMHV-UHFFFAOYSA-M,1.332024844
lithium(1+) ion bromide,,[Li+].[Br-],AMXOYNBUYSYVKV-UHFFFAOYSA-M,1.32370627
(2R)-2-hydroxy-N-(2-hydroxyethyl)propanamide,,CC(O)C(=O)NCCO,RZCHTMXTKQHYDT-UHFFFAOYSA-N,1.307032379
zinc dibromide,,[Zn++].[Br-].[Br-],VNDYJBBGRKZCSX-UHFFFAOYSA-L,1.297742994
1H-pyrazole,,[nH]1cccn1,WTKZEGDFNFYCGP-UHFFFAOYSA-N,1.28788965
"1,8-anthraquinonedisulfonic acid",,O[S](=O)(=O)c1cccc2C(=O)c3cccc(c3C(=O)c12)[S](O)(=O)=O,IJNPIHLZSZCGOC-UHFFFAOYSA-N,1.2572
prop-2-yn-1-ol,,OCC#C,TVDSBUOJIPERQY-UHFFFAOYSA-N,1.25131592
disodium sulfanediide,,[Na+].S,HYHCSLBZRBJJCH-UHFFFAOYSA-N,1.243569299
2-methylaziridine,,CC1CN1,OZDGMOYKSFPLSE-UHFFFAOYSA-N,1.2434
allylamine,,NCC=C,VVJKKWFAADXIJK-UHFFFAOYSA-N,1.2434
cyclopropanamine,,NC1CC1,HTJDQJBWANPRPF-UHFFFAOYSA-N,1.243394316
glyoxal,,O=CC=O,LEQAOMBKQFMDFZ-UHFFFAOYSA-N,1.2363
acetone,,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,1.236
allyl alcohol,,OCC=C,XXROGKLTLUQVRX-UHFFFAOYSA-N,1.236
trimethyleneoxide,,C1COC1,AHHWIHXENZJRFG-UHFFFAOYSA-N,1.236
ethanol,,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1.233668218
N-methylformamide,,CNC=O,ATHHXGZTWNVVOU-UHFFFAOYSA-N,1.228647734
potassium fluoride,,[F-].[K+],NROKBHXJSPEDAR-UHFFFAOYSA-M,1.228407286
isopropylamine,,CC(C)N,JJWLVOIRVHMVIS-UHFFFAOYSA-N,1.2283
propylamine,,CCCN,WGYKZJWCGVVSQN-UHFFFAOYSA-N,1.2283
"1,1-dimethylhydrazine",,CN(C)N,RHUYHJGZWVXEHW-UHFFFAOYSA-N,1.2211
"1,2-diaminoethane",,NCCN,PIICEJLVQHRZGT-UHFFFAOYSA-N,1.2211
"1,2-dimethylhydrazine",,CNNC,DIIIISSCIXVANO-UHFFFAOYSA-N,1.2211
2-aminoethan-1-ol,,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,1.214072532
ethylene glycol,,OCCO,LYCAIKOWRPUZTN-UHFFFAOYSA-N,1.2071
2-fluoroethanol,,OCCF,GGDYAKVUZMZKRV-UHFFFAOYSA-N,1.1934
trimethylamine,,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,1.1777
"1,4:3,6-dianhydro-D-glucitol",,O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,KLDXJTOLSGUMSJ-JGWLITMVSA-N,1.177450183
(1-hydroxy-1-phosphonoethyl)phosphonic acid,,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,1.175855294
[4-(aminomethyl)phenyl]methanamine,,NCc1ccc(CN)cc1,ISKQADXMHQSTHK-UHFFFAOYSA-N,1.175071806
lithium(1+) ion nitrate,,[Li+].[O-][N+]([O-])=O,IIPYXGDZVMZOAP-UHFFFAOYSA-N,1.170097396
cacodylic acid,,C[As](C)(O)=O,OGGXGZAMXPVRFZ-UHFFFAOYSA-N,1.1612
potassium 3-(acryloyloxy)propane-1-sulfonate,,[K+].[O-][S](=O)(=O)CCCOC(=O)C=C,VSFOXJWBPGONDR-UHFFFAOYSA-M,1.156268325
potassium phosphorous acid,,[K+].OP(O)O,UUCFTYONLUTOFU-UHFFFAOYSA-N,1.152409408
pyrrolidine,,N(CCC1)C1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,1.15
ethylene cyanohydrin,,OCCC#N,WSGYTJNNHPZFKR-UHFFFAOYSA-N,1.1483
2-hydroxypropanenitrile,,CC(O)C#N,WOFDVDFSGLBFAC-UHFFFAOYSA-N,1.148258691
